number_of_clients,message_size,time_in_ms
1,10,7.5
2,10,8.5
4,10,12
8,10,17
16,10,27
32,10,46
64,10,83.5
128,10,186
256,10,365
512,10,580
1024,10,1300
2048,10,2200
